_id,Text,Blanks,Drawn
1," _  . Awesome in theory, kind of a mess in practice.",1,0
2,  _  would be woefully incomplete without  _ .,2,0
3, _  : Hours of fun. Easy to use. Perfect for _ !,2,0
4, _  +  _  =  _ ,3,0
5, _ . Betcha can't have just one.,1,0
6, _ . High five bro.,1,0
7, _ . It's a trap!,1,0
8, _ . That's how I want to die.,1,0
9, _ : good to the last drop.,1,0
10, _ : kid-tested mother-approved.,1,0
11, _ ? There's an app for that.,1,0
12, _ is a slippery slope that leads to  _ .,2,0
13," After months of practice with _ , I think I’m finally ready for _ .",2,0
14, An international tribunal has found _ guilty of  _ .,2,0
15, An the Academy Award for _ goes to  _ .,2,0
16," Before  _ , all we had was _ .",2,0
17," Dear Sir or Madam, We regret to inform you that the office of _ has denied your request for  _ .",2,0
18," For my next trick, I will pull _ out of  _ .",2,0
19, Having problems with _ ? Try _ !,2,0
20, I never truly understood _ until I encountered  _ .,2,0
21," I spent my whole life working toward  _ , only to have it ruined by  _ .",2,0
22," If God didn't want us to enjoy  _ , he wouldn't have given us  _ .",2,0
23," In a pinch,  _  can be a suitable substitute for  _ .",2,0
24," In a world ravaged by  _ , our only solace is  _ .",2,0
25," In M. Night Shamalan's new movie, Bruce Willis discovers that _ had really been _ all along.",2,0
26," Lifetime presents  _ , the story of  _ .",2,0
27," Listen, son. If you want to get involved with _ , I won’t stop you. Just steer clear of _ . ",2,0
28, Michael Bay's new three hour action epic pits _ against  _ .,2,0
29, Rumor has it that Vladimir Putin's favorite dish is _ stuffed with  _ .,2,0
30, Step 1:  _  Step 2 _  Step 3: Profit.,2,0
31, That's right I killed  _ . How you ask?  _ .,2,0
32, What's the next superhero/sidekick duo?,2,0
33, When I was tripping on acid _ turned into  _ .,2,0
34,A romantic candlelit dinner would be incomplete without  _ .,1,0
35,A successful job interview begins with a firm handshake and ends with _ .,1,0
36,"After blacking out during New Year's Eve, I was awoken by  _ .",1,0
37,"After months of debate, the Occupy Wall Street General Assembly could only agree on “More  _ !”",1,0
38,"After the earthquake, Sean Penn bought _ to the people of Haiti.",1,0
39,Alternative medicine is now embracing the curative powers of  _ .,1,0
40,"And I would have gotten away with it, too, if it hadn't been for  _ .",1,0
41,And what did you bring for show and tell?,1,0
42,Anthropologists have recently discovered a primitive tribe that worships  _ .,1,0
43,"As part of his contract, Prince won’t perform without _  in his dressing room.",1,0
44,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for _ .",1,0
45,"Before I run for president, I must destroy all evidence of my involvement with  _ .",1,0
46,BILLY MAYS HERE FOR  _ .,1,0
47,"But before I kill you, Mr. Bond, I must show you  _ .",1,0
48,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate _  in the workplace.",1,0
49,Charades was ruined for me forever when my mom had to act out  _ .,1,0
50,"Coming to Broadway this season,  _ : The Musical.",1,0
51,"Dear Abby, I'm having some trouble with _ and would like your advice.",1,0
52,During high school I never really fit in until I found _  club.,1,0
53,"During his midlife crisis, my dad got really into  _ .",1,0
54,"During Picasso's often overlooked Brown Period, he produced hundreds of paintings of  _ .",1,0
55,"During sex, I like to think about  _ .",1,0
56,Every Christmas my uncle gets drunk and tells the story about  _ .,1,0
57,Everyone down on the ground! We don't want to hurt anyone. We're just here for  _ .,1,0
58,Finally! A service that delivers _  right to your door.,1,0
59,Finally! A service that delivers _  right to your door.,1,0
60,He who controls _ controls the world.,1,0
61,"Hey baby, come back to my place and I’ll show you _ .",1,0
62,How am I maintaining my relationship status?,1,0
63,"I do not know with what weapons World War III will be fought, but World War IV will be fought with _.",1,0
64,I drink to forget  _ .,1,0
65,I got 99 problems but _ ain't one.,1,0
66,I learned the hard way that you can't cheer up a grieving friend with  _ .,1,0
67,"I went from _ to  _ , all thanks to _.",3,0
68,I’m not like the rest of you. I’m too rich and busy for _ .,1,0
69,"I'm sorry professor, but I couldn't complete my homework because of  _ .",1,0
70,"In 1,000 years when paper money is but a distant memory,  _  will be our currency.",1,0
71,"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on  _ .",1,0
72,"In his new self _ produced album, Kanye West raps over the sounds of  _ .",2,0
73,"In his newest and most difficult stunt, David Blaine must escape from  _ .",1,0
74,"In its new tourism campaign, Detroit proclaims that it has finally eliminated  _ .",1,0
75,"In L.A. county Jail, word is you can trade 200 cigarettes for  _ .",1,0
76,"In Michael Jackson's final moments, he thought about  _ .",1,0
77,"In Rome, there are whisperings that the Vatican has a secret room devoted to  _ .",1,0
78,"In the distant future, historians will agree that _ marked the beginning of America's decline.",1,0
79,"In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time.",1,0
80,"In the seventh circle of Hell, sinners must endure _  for all eternity.",1,0
81,It's a pity that kids these days are all getting involved with  _ .,1,0
82,Jesus is  _ .,1,0
83,Life for American Indians was forever changed when the White Man introduced them to  _ .,1,0
84,"Little Miss Muffet, Sat on a tuffet, Eating her curds and  _ .",1,0
85,Lovin’ you is easy ’cause you’re _ .,1,0
86,Major League Baseball has banned _ for giving players an unfair advantage.,1,0
87,Make a haiku.,3,0
88,Maybe she's born with it. Maybe it's  _ .,1,0
89,Members of New York's social elite are paying thousands of dollars just to experience  _ .,1,0
90,"Money can’t buy me love, but it can buy me _ .",1,0
91,MTV's new reality show features eight washed up celebrities living with  _ .,1,0
92,"My country, 'tis of thee, sweet land of  _ .",1,0
93,My gym teacher got fired for adding _  to the obstacle course.,1,0
94,My life is ruled by a vicious cycle of _  and _ .,2,0
95,My mom freaked out when she looked at my browser history and found  _ .com/ _ .,2,0
96,My new favorite porn star is Joey “ _ ” McGee.,1,0
97,Next from J.K. Rowling: Harry Potter and the Chamber of  _ .,1,0
98,Next on ESPN2: The World Series of  _ .,1,0
99,Next time on Dr. Phil: How to talk to your child about  _ .,1,0
100,"On the third day of Christmas, my true love game to me: three French hens, two turtle doves, and  _ .",1,0
101,Only two things in life are certain: death and  _ .,1,0
102,Science will never explain the origin of  _ .,1,0
103,Studies show that lab rats navigate mazes 50% faster after being exposed to  _ ,1,0
104,The blind date was going horribly until we discovered our shared interest in _ .,1,0
105,The CIA now interrogates enemy agents by repeatedly subjecting them to  _ .,1,0
106,The class field trip was completely ruined by  _ .,1,0
107,"The Five Stages of Grief: denial, anger, bargaining,  _  acceptance.",1,0
108,The healing process began when I joined a support group for victims of  _ .,1,0
109,The socialist governments of Scandanavia have declared that access to _ is a basic human right.,1,0
110,"The votes are in, and the new high school mascot is  _ .",1,0
111,"This holiday season, Tim Allen must overcome his fear of _ to save Christmas.",1,0
112,This is the way the world ends This is the way the world ends Not with a bang but with  _ .,1,0
113,This is your captain speaking. Fasten your seatbelts and prepare for  _ .,1,0
114,This month's Cosmo: “Spice up your sex life by bringing _ into the bedroom.”,1,0
115,"This reason on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only _ and his wits.",1,0
116,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of _ .",1,0
117,Tonight on 20/20: What you don't know about _ could kill you.,1,0
118,TSA guidelines now prohibit _ on airplanes.,1,0
119,Turns out that _ Man was neither the hero we needed nor wanted.,1,0
120,"Wake up, America. Christmas is under attack by secular liberals and their  _ .",1,0
121,War! What is it good for?,1,0
122,What am I giving up for Lent?,1,0
123,What are my parents hiding from me?,1,0
124,What brought the orgy to a grinding halt?,1,0
125,What did I bring back from Mexico?,1,0
126,What did the US airdrop to the children of Afghanistan?,1,0
127,What did Vin Diesel eat for dinner?,1,0
128,What do old people smell like?,1,0
129,What does Dick Cheney prefer?,1,0
130,What don't you want to find in your Chinese food?,1,0
131,What ended my last relationship?,1,0
132,What gets better with age?,1,0
133,What gives me uncontrollable gas?,1,0
134,What has been making life difficult at the nudist colony?,1,0
135,What helps Obama unwind?,1,0
136,What is Batman's guilty pleasure?,1,0
137,"What keeps me warm during the cold, cold winter?",1,0
138,What left this stain on my couch?,1,0
139,What never fails to liven up the party?,1,0
140,What people like  _ .,1,0
141,What will always get you laid?,1,0
142,What will I bring back in time to convince people that I am a powerful wizard?,1,0
143,"What would grandma find disturbing, yet oddly charming?",1,0
144,What's a girl's best friend?,1,0
145,What's my anti _ drug?,1,0
146,What's my secret power?,1,0
147,What's Teach for America using to inspire inner city students to succeed?,1,0
148,What's that smell?,1,0
149,What's that sound?,1,0
150,What's the crustiest?,1,0
151,What's the gift that keeps on giving?,1,0
152,What's the most emo?,1,0
153,What's the new fad diet?,1,0
154,What's the next Happy Meal toy?,1,0
155,What's there a ton of in heaven?,1,0
156,"When all else fails, I can always masturbate to  _ .",1,0
157,"When I am a billionaire, I shall erect a 50  foot statue to commemorate  _ .",1,0
158,"When I am President of the United States, I will create the Department of  _ .",1,0
159,"When I pooped, what came out of my butt?",1,0
160,"When Pharaoh remained unmoved, Moses called down a Plague of  _ .",1,0
161,"When the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on  _ .",1,0
162,"When you get right down to it, _  is just _ .",2,0
163,Why am I sticky?,1,0
164,Why can't I sleep at night?,1,0
165,Why do I hurt all over?,1,0
166,"With enough time and pressure, _  will turn into _ .",2,0
167,You haven't truly lived until you've experienced _ and _ at the same time.,2,0
